acquaintance	əˈkweɪntəns
audience	ˈɔːdiəns
inexperience	ˌɪnɪksˈpɪərɪəns
entrance	ˈɛntrəns
once	wʌns
resistance	rɪˈzɪstəns
dice	daɪs
police	pəˈliːs
absence	ˈæbsəns
necklace	ˈnɛklɪs
advance	ədˈvɑːns
outpace	aʊtˈpeɪs
choice	ʧɔɪs
lettuce	ˈlɛtɪs
relevance	ˈrɛlɪvəns
deference	ˈdɛfərəns
retrace	rɪˈtreɪs
exuberance	ɪɡˈzjuːbərəns
piece	piːs
decadence	ˈdɛkədəns
eyepiece	ˈaɪpiːs
acceptance	əkˈsɛptəns
dance	dɑːns
accordance	əˈkɔːdəns
incidence	ˈɪnsɪdəns
trace	treɪs
patience	ˈpeɪʃəns
rejoice	rɪˈʤɔɪs
reminiscence	ˌrɛmɪˈnɪsns
freelance	ˈfriːˌlɑːns
bodice	ˈbɒdɪs
annoyance	əˈnɔɪəns
justice	ˈʤʌstɪs
suffice	səˈfaɪs
spruce	spruːs
influence	ˈɪnflʊəns
violence	ˈvaɪələns
coerce	kəʊˈɜːs
juice	ʤuːs
mince	mɪns
lance	lɑːns
reintroduce	ˌriːˌɪntrəˈdjuːs
brace	breɪs
precipice	ˈprɛsɪpɪs
centerpiece	ˈsɛntəpiːs
presence	ˈprɛzns
circumference	səˈkʌmfərəns
practice	ˈpræktɪs
preface	ˈprɛfɪs
negligence	ˈnɛɡlɪʤəns
substance	ˈsʌbstəns
vengeance	ˈvɛnʤəns
subsistence	səbˈsɪstəns
niece	niːs
office	ˈɒfɪs
renaissance	rəˈneɪsəns
furnace	ˈfɜːnɪs
whence	wɛns
credence	ˈkriːdəns
reconnaissance	rɪˈkɒnɪsəns
reinforce	ˌriːɪnˈfɔːs
repentance	rɪˈpɛntəns
misplace	ˌmɪsˈpleɪs
parlance	ˈpɑːləns
sentence	ˈsɛntəns
deterrence	dɪˈtɛrəns
coalesce	ˌkəʊəˈlɛs
residence	ˈrɛzɪdəns
renounce	rɪˈnaʊns
advice	ədˈvaɪs
romance	rəʊˈmæns
commence	kəˈmɛns
stance	stɑːns
denounce	dɪˈnaʊns
arrogance	ˈærəɡəns
dominance	ˈdɒmɪnəns
ambivalence	æmˈbɪvələns
interference	ˌɪntəˈfɪərəns
severance	ˈsɛvərəns
convergence	kənˈvɜːʤəns
observance	əbˈzɜːvəns
variance	ˈveərɪəns
nice	naɪs
reliance	rɪˈlaɪəns
coincidence	kəʊˈɪnsɪdəns
deduce	dɪˈdjuːs
sacrifice	ˈsækrɪfaɪs
convenience	kənˈviːniəns
commerce	ˈkɒmɜːs
performance	pəˈfɔːməns
glance	ɡlɑːns
solstice	ˈsɒlstɪs
solace	ˈsɒləs
disobedience	ˌdɪsəˈbiːdjəns
finance	faɪˈnæns
adolescence	ˌædəʊˈlɛsns
impotence	ˈɪmpətəns
extravagance	ɪksˈtrævɪɡəns
neuroscience	ˌnjʊərəʊˈsaɪəns
intolerance	ɪnˈtɒlərəns
emergence	ɪˈmɜːʤəns
ordnance	ˈɔːdnəns
experience	ɪksˈpɪərɪəns
jurisprudence	ˈʤʊərɪsˌpruːdəns
injustice	ɪnˈʤʌstɪs
place	pleɪs
reduce	rɪˈdjuːs
sauce	sɔːs
hindrance	ˈhɪndrəns
independence	ˌɪndɪˈpɛndəns
fence	fɛns
pronounce	prəˈnaʊns
persistence	pəˈsɪstəns
trance	trɑːns
silence	ˈsaɪləns
convince	kənˈvɪns
menace	ˈmɛnəs
announce	əˈnaʊns
acquiesce	ˌækwɪˈɛs
airspace	ˈɛəˌspeɪs
anyplace	ˈenipleɪs
assurance	əˈʃʊərəns
importance	ɪmˈpɔːtəns
source	sɔːs
divorce	dɪˈvɔːs
occurrence	əˈkʌrəns
enforce	ɪnˈfɔːs
reference	ˈrɛfrəns
compliance	kəmˈplaɪəns
ordinance	ˈɔːdɪnəns
alliance	əˈlaɪəns
interdependence	ˌɪntədɪˈpɛndəns
congruence	ˈkɒŋɡrʊəns
bounce	baʊns
allowance	əˈlaʊəns
cadence	ˈkeɪdəns
commonplace	ˈkɒmənpleɪs
provenance	ˈprɒvɪnəns
utterance	ˈʌtərəns
enhance	ɪnˈhɑːns
dissonance	ˈdɪsənəns
