compose	kəmˈpəʊz
clearinghouse	ˈklɪərɪŋhaʊs
reuse	riːˈjuːz
elapse	ɪˈlæps
encase	ɪnˈkeɪs
demise	dɪˈmaɪz
spouse	spaʊz
perverse	pəˈvɜːs
suffuse	səˈfjuːz
release	rɪˈliːs
suspense	səsˈpɛns
advertise	ˈædvətaɪz
cheese	ʧiːz
grouse	ɡraʊs
discourse	dɪsˈkɔːs
showcase	ˈʃəʊkeɪs
analyse	ˈænəlaɪz
glucose	ˈɡluːkəʊs
dispense	dɪsˈpɛns
terse	tɜːs
townhouse	ˈtaʊnhaʊs
those	ðəʊz
else	ɛls
multipurpose	ˌmʌltɪˈpɜːpəs
pose	pəʊz
traverse	trəˈvɜːs
finesse	fɪˈnɛs
reimburse	ˌriːɪmˈbɜːs
nose	nəʊz
pulse	pʌls
advise	ədˈvaɪz
staircase	ˈsteəkeɪs
increase	ˈɪnkriːs
grease	ɡriːs
license	ˈlaɪsəns
likewise	ˈlaɪkwaɪz
immense	ɪˈmɛns
case	keɪs
clause	klɔːz
peruse	pəˈruːz
suitcase	ˈsjuːtkeɪs
treatise	ˈtriːtɪz
corpse	kɔːps
precise	prɪˈsaɪs
dose	dəʊs
arise	əˈraɪz
concourse	ˈkɒŋkɔːs
converse	kənˈvɜːs
noise	nɔɪz
pretense	prɪˈtɛns
franchise	ˈfrænʧaɪz
appraise	əˈpreɪz
powerhouse	ˈpaʊəhaʊs
disease	dɪˈziːz
lapse	læps
reverse	rɪˈvɜːs
prose	prəʊz
lease	liːs
rinse	rɪns
praise	preɪz
mayonnaise	ˌmeɪəˈneɪz
televise	ˈtɛlɪvaɪz
vase	vɑːz
purpose	ˈpɜːpəs
overdose	ˈəʊvədəʊs
malaise	mæˈleɪz
promise	ˈprɒmɪs
defense	dɪˈfɛns
course	kɔːs
browse	braʊz
hoarse	hɔːs
lighthouse	ˈlaɪthaʊs
lacrosse	ləˈkrɒs
these	ðiːz
bookcase	ˈbʊkkeɪs
database	ˈdeɪtəˌbeɪs
horse	hɔːs
intersperse	ˌɪntəˈspɜːs
eclipse	ɪˈklɪps
sparse	spɑːs
coffeehouse	ˈkɒfɪhaʊs
apocalypse	əˈpɒkəlɪps
merchandise	ˈmɜːʧəndaɪz
disguise	dɪsˈɡaɪz
defuse	ˌdiːˈfjuːz
obese	əʊˈbiːs
remorse	rɪˈmɔːs
diverse	daɪˈvɜːs
relapse	rɪˈlæps
suppose	səˈpəʊz
workhorse	ˈwɜːkhɔːs
noose	nuːs
enthuse	ɪnˈθjuːz
pillowcase	ˈpɪləʊkeɪs
pause	pɔːz
menopause	ˈmɛnəʊpɔːz
repose	rɪˈpəʊz
depose	dɪˈpəʊz
penthouse	ˈpɛnthaʊs
paradise	ˈpærədaɪs
muse	mjuːz
infuse	ɪnˈfjuːz
greenhouse	ˈɡriːnhaʊs
nonsense	ˈnɒnsəns
